"D","n_patterns_covered","freq_covered","pct_covered"
0,1,25,0.003125
1,9,2459,0.307375
2,40,22258,2.78225
3,177,167437,20.929625
4,574,196983,24.622875
5,1317,219589,27.448625
6,2424,241613,30.201625
7,3851,278236,34.7795
8,5631,355714,44.46425
9,7887,421695,52.711875
10,10529,471329,58.916125
11,13286,508024,63.503
12,24388,773078,96.63475
13,25242,776314,97.03925
14,31156,798001,99.750125
15,31297,798195,99.774375
16,32068,799805,99.975625
17,32077,799815,99.976875
18,32152,800000,100
19,32152,800000,100
20,32152,800000,100
