dataset_source,det_col,n_non_missing,min_value,max_value,n_below_0,n_above_100
diego,det_01_profits,1899,0.1364431647005504,99.95725057630506,0,0
diego,det_02_credit_score,1899,0.015083984758967883,99.93534334710226,0,0
diego,det_03_risk_profile,1899,0.281339752976284,99.99136090776717,0,0
diego,det_04_added_value,1899,0.18266103935291045,99.94367383478753,0,0
diego,det_05_frugality,1899,0.27980626342108966,99.86107598577556,0,0
diego,det_06_climate_protection,1899,0.1021942687269795,99.99990145365531,0,0
diego,det_07_legal,1899,0.0415505006908623,99.80983012942838,0,0
diego,det_08_trust,1899,0.17186816524050738,99.91569352833903,0,0
diego,det_09_safety,1899,0.14825098505484305,99.97245561156835,0,0
diego,det_10_cost_efficiency,1899,0.014716450324231412,99.9681538112205,0,0
diego,det_11_knowledge,1899,0.20097615449332643,99.96703784326216,0,0
diego,det_12_own_competence,1899,0.3473563568865023,99.8811827388913,0,0
diego,det_13_technical_fit,1899,0.0016885854302706167,99.91686552758485,0,0
diego,det_14_environmental_concerns,1899,0.7398904628828086,99.99992689857886,0,0
diego,det_15_self_satisfaction,1899,0.47427756608481875,99.91443128915624,0,0
diego,det_16_commitment,1899,0.021744479006002848,99.99587983778359,0,0
diego,det_17_adherence,1899,0.12301413292558629,99.96315202050138,0,0
diego,det_18_autonomy,1899,0.07676443923262946,99.97720731328164,0,0
diego,det_19_wellbeing,1899,0.22319730517263991,99.95392373195477,0,0
diego,det_20_coziness,1899,0.5199327686178701,99.9827848529166,0,0
diego,det_21_rights_and_duties,1899,0.017122305934635932,99.97882363526627,0,0
diego,det_22_peer_pressure,1899,0.07047369515466027,99.83469653618234,0,0
diego,det_23_support,1899,0.11173780549159627,99.51092504496468,0,0
diego,det_24_socialising,1899,0.02120989556894104,99.94364159499102,0,0
diego,det_25_agreement,1899,0.04637000898306544,99.968681309973,0,0
diego,det_26_novelty,1899,0.21278330488030966,99.99978112353278,0,0
diego,det_27_fun,1899,0.01995890598669448,99.84335951695915,0,0
diego,det_28_recognition,1899,0.0346041830700916,99.66491535873261,0,0
diego,det_29_trends,1899,0.1206085951695912,99.25764359494067,0,0
diego,det_30_authority,1899,0.08845028602647574,99.96491188228913,0,0
diego,det_31_approval,1899,0.005470865717760454,99.95088827759083,0,0
diego,det_32_own_significance,1899,0.11058744413703914,99.90602954151652,0,0
rv,det_01_profits,374,0,100,0,0
rv,det_02_credit_score,362,0,100,0,0
rv,det_03_risk_profile,364,0,100,0,0
rv,det_04_added_value,363,0,100,0,0
rv,det_05_frugality,364,0,100,0,0
rv,det_06_climate_protection,399,0,100,0,0
rv,det_07_legal,367,0,100,0,0
rv,det_08_trust,381,0,100,0,0
rv,det_09_safety,370,0,100,0,0
rv,det_10_cost_efficiency,386,0,100,0,0
rv,det_11_knowledge,396,0,100,0,0
rv,det_12_own_competence,355,0,100,0,0
rv,det_13_technical_fit,387,0,100,0,0
rv,det_14_environmental_concerns,399,0,100,0,0
rv,det_15_self_satisfaction,385,0,100,0,0
rv,det_16_commitment,387,0,100,0,0
rv,det_17_adherence,369,0,100,0,0
rv,det_18_autonomy,381,0,100,0,0
rv,det_19_wellbeing,386,0,100,0,0
rv,det_20_coziness,374,0,100,0,0
rv,det_21_rights_and_duties,379,0,100,0,0
rv,det_22_peer_pressure,385,0,100,0,0
rv,det_23_support,359,0,100,0,0
rv,det_24_socialising,368,0,100,0,0
rv,det_25_agreement,378,0,100,0,0
rv,det_26_novelty,375,0,100,0,0
rv,det_27_fun,367,0,100,0,0
rv,det_28_recognition,386,0,100,0,0
rv,det_29_trends,380,0,100,0,0
rv,det_30_authority,363,0,100,0,0
rv,det_31_approval,386,0,100,0,0
rv,det_32_own_significance,379,0,100,0,0
why,det_01_profits,855,0,100,0,0
why,det_02_credit_score,846,0,100,0,0
why,det_03_risk_profile,848,0,100,0,0
why,det_04_added_value,843,0,100,0,0
why,det_05_frugality,850,0,100,0,0
why,det_06_climate_protection,849,0,100,0,0
why,det_07_legal,849,0,100,0,0
why,det_08_trust,844,0,100,0,0
why,det_09_safety,850,0,100,0,0
why,det_10_cost_efficiency,851,0,100,0,0
why,det_11_knowledge,856,15,100,0,0
why,det_12_own_competence,847,0,100,0,0
why,det_13_technical_fit,850,4,100,0,0
why,det_14_environmental_concerns,854,0,100,0,0
why,det_15_self_satisfaction,856,0,100,0,0
why,det_16_commitment,846,0,100,0,0
why,det_17_adherence,850,0,100,0,0
why,det_18_autonomy,843,0,100,0,0
why,det_19_wellbeing,848,0,100,0,0
why,det_20_coziness,849,0,100,0,0
why,det_21_rights_and_duties,847,0,100,0,0
why,det_22_peer_pressure,851,0,100,0,0
why,det_23_support,851,0,100,0,0
why,det_24_socialising,850,0,100,0,0
why,det_25_agreement,846,0,100,0,0
why,det_26_novelty,848,0,100,0,0
why,det_27_fun,850,0,100,0,0
why,det_28_recognition,854,0,100,0,0
why,det_29_trends,856,0,93,0,0
why,det_30_authority,848,0,100,0,0
why,det_31_approval,853,0,96,0,0
why,det_32_own_significance,848,0,100,0,0
