"pattern","freq","archetype","dist","sim_jaccard"
"pattern_1",2454574,"Early.Adopter",6,0
"pattern_2",1925014,"Early.Adopter",8,0
"pattern_3",770625,"Early.Adopter",5,0.5
"pattern_4",623923,"Early.Adopter",5,1
"pattern_5",244544,"Early.Adopter",6,0.333333333333333
"pattern_6",242964,"Early.Adopter",6,0
"pattern_7",233847,"Early.Adopter",8,0
"pattern_8",228131,"Early.Adopter",7,0.333333333333333
"pattern_9",210400,"Early.Adopter",5,0.333333333333333
"pattern_10",197114,"Early.Adopter",5,0.333333333333333
"pattern_11",124662,"Early.Adopter",9,0
"pattern_12",123316,"Early.Adopter",5,0.5
"pattern_13",119161,"Early.Adopter",7,0
"pattern_14",102416,"Early.Adopter",6,0.5
"pattern_15",88306,"Early.Adopter",7,0
"pattern_16",53067,"Early.Adopter",6,0.333333333333333
"pattern_17",43838,"Early.Adopter",5,0.5
"pattern_18",35259,"Early.Adopter",8,0
"pattern_19",33840,"Early.Adopter",8,0
"pattern_20",27605,"Early.Adopter",8,0
"pattern_21",21615,"Early.Adopter",6,0.333333333333333
"pattern_22",18958,"Early.Adopter",7,0
"pattern_23",17133,"Early.Adopter",7,0
"pattern_24",12043,"Early.Adopter",6,0.333333333333333
"pattern_25",11305,"Early.Adopter",7,0
"pattern_26",8418,"Early.Adopter",7,0
"pattern_27",7050,"Early.Adopter",6,0.333333333333333
"pattern_28",4413,"Early.Adopter",6,0.333333333333333
"pattern_29",2620,"Early.Adopter",7,0
"pattern_30",2093,"Early.Adopter",5,0.333333333333333
"pattern_31",1376,"Early.Adopter",8,0
"pattern_32",1326,"Early.Adopter",8,0
"pattern_33",1212,"Early.Adopter",5,0.5
"pattern_34",910,"Early.Adopter",7,0
"pattern_35",860,"Early.Adopter",6,0
"pattern_36",759,"Early.Adopter",5,0.333333333333333
"pattern_37",747,"Early.Adopter",8,0
"pattern_38",492,"Early.Adopter",6,0.5
"pattern_39",417,"Early.Adopter",8,0
"pattern_40",359,"Early.Adopter",7,0
"pattern_41",329,"Early.Adopter",7,0
"pattern_42",323,"Early.Adopter",6,0.333333333333333
"pattern_43",308,"Early.Adopter",7,0
"pattern_44",284,"Early.Adopter",8,0
"pattern_45",228,"Early.Adopter",6,0.333333333333333
"pattern_46",224,"Early.Adopter",5,0.333333333333333
"pattern_47",221,"Early.Adopter",7,0
"pattern_48",146,"Early.Adopter",7,0
"pattern_49",134,"Early.Adopter",7,0
"pattern_50",107,"Early.Adopter",7,0.333333333333333
"pattern_51",93,"Early.Adopter",7,0
"pattern_52",76,"Early.Adopter",7,0
"pattern_53",73,"Early.Adopter",7,0
"pattern_54",73,"Early.Adopter",8,0
"pattern_55",60,"Early.Adopter",7,0
"pattern_56",59,"Early.Adopter",6,0
"pattern_57",56,"Early.Adopter",7,0
"pattern_58",49,"Early.Adopter",6,0
"pattern_59",43,"Early.Adopter",6,0
"pattern_60",40,"Early.Adopter",6,0
"pattern_61",37,"Early.Adopter",8,0
"pattern_62",36,"Early.Adopter",6,0
"pattern_63",27,"Early.Adopter",8,0
"pattern_64",27,"Early.Adopter",7,0
"pattern_65",24,"Early.Adopter",7,0
"pattern_66",24,"Early.Adopter",6,0.333333333333333
"pattern_67",23,"Early.Adopter",6,0
"pattern_68",23,"Early.Adopter",7,0
"pattern_69",17,"Early.Adopter",6,0.333333333333333
"pattern_70",17,"Early.Adopter",8,0
"pattern_71",13,"Early.Adopter",6,0.333333333333333
"pattern_72",9,"Early.Adopter",6,0
"pattern_73",8,"Early.Adopter",7,0
"pattern_74",8,"Early.Adopter",6,0.333333333333333
"pattern_75",8,"Early.Adopter",8,0
"pattern_76",8,"Early.Adopter",7,0
"pattern_77",5,"Early.Adopter",7,0
"pattern_78",5,"Early.Adopter",7,0.333333333333333
"pattern_79",4,"Early.Adopter",7,0
"pattern_80",4,"Early.Adopter",7,0
"pattern_81",4,"Early.Adopter",6,0.333333333333333
"pattern_82",4,"Early.Adopter",7,0
"pattern_83",3,"Early.Adopter",7,0
"pattern_84",3,"Early.Adopter",6,0
"pattern_85",3,"Early.Adopter",6,0
"pattern_86",3,"Early.Adopter",6,0.5
"pattern_87",2,"Early.Adopter",7,0
"pattern_88",2,"Early.Adopter",6,0
"pattern_89",2,"Early.Adopter",7,0
"pattern_90",2,"Early.Adopter",7,0
"pattern_91",2,"Early.Adopter",8,0
"pattern_92",1,"Early.Adopter",7,0
"pattern_93",1,"Early.Adopter",7,0
"pattern_94",1,"Early.Adopter",8,0
"pattern_95",1,"Early.Adopter",7,0
"pattern_96",1,"Early.Adopter",6,0
"pattern_1",2454574,"Uninterested",5,0
"pattern_2",1925014,"Uninterested",4,0.333333333333333
"pattern_3",770625,"Uninterested",7,0
"pattern_4",623923,"Uninterested",6,0
"pattern_5",244544,"Uninterested",6,0
"pattern_6",242964,"Uninterested",5,0
"pattern_7",233847,"Uninterested",5,0
"pattern_8",228131,"Uninterested",5,0.333333333333333
"pattern_9",210400,"Uninterested",7,0
"pattern_10",197114,"Uninterested",8,0
"pattern_11",124662,"Uninterested",4,0.333333333333333
"pattern_12",123316,"Uninterested",7,0
"pattern_13",119161,"Uninterested",5,0
"pattern_14",102416,"Uninterested",5,0.5
"pattern_15",88306,"Uninterested",4,1
"pattern_16",53067,"Uninterested",5,0.333333333333333
"pattern_17",43838,"Uninterested",6,0
"pattern_18",35259,"Uninterested",5,0.333333333333333
"pattern_19",33840,"Uninterested",4,0.5
"pattern_20",27605,"Uninterested",5,0.333333333333333
"pattern_21",21615,"Uninterested",6,0.333333333333333
"pattern_22",18958,"Uninterested",6,0
"pattern_23",17133,"Uninterested",5,0
"pattern_24",12043,"Uninterested",6,0.333333333333333
"pattern_25",11305,"Uninterested",6,0
"pattern_26",8418,"Uninterested",4,0.5
"pattern_27",7050,"Uninterested",6,0
"pattern_28",4413,"Uninterested",7,0
"pattern_29",2620,"Uninterested",7,0
"pattern_30",2093,"Uninterested",7,0
"pattern_31",1376,"Uninterested",6,0
"pattern_32",1326,"Uninterested",4,0.333333333333333
"pattern_33",1212,"Uninterested",6,0
"pattern_34",910,"Uninterested",5,0
"pattern_35",860,"Uninterested",6,0
"pattern_36",759,"Uninterested",7,0
"pattern_37",747,"Uninterested",6,0
"pattern_38",492,"Uninterested",6,0
"pattern_39",417,"Uninterested",5,0.333333333333333
"pattern_40",359,"Uninterested",5,0.333333333333333
"pattern_41",329,"Uninterested",6,0
"pattern_42",323,"Uninterested",5,0.333333333333333
"pattern_43",308,"Uninterested",7,0
"pattern_44",284,"Uninterested",5,0
"pattern_45",228,"Uninterested",7,0
"pattern_46",224,"Uninterested",7,0
"pattern_47",221,"Uninterested",5,0.5
"pattern_48",146,"Uninterested",6,0.333333333333333
"pattern_49",134,"Uninterested",5,0.333333333333333
"pattern_50",107,"Uninterested",6,0
"pattern_51",93,"Uninterested",6,0
"pattern_52",76,"Uninterested",6,0
"pattern_53",73,"Uninterested",5,0
"pattern_54",73,"Uninterested",5,0.333333333333333
"pattern_55",60,"Uninterested",7,0
"pattern_56",59,"Uninterested",6,0
"pattern_57",56,"Uninterested",6,0.333333333333333
"pattern_58",49,"Uninterested",5,0
"pattern_59",43,"Uninterested",6,0
"pattern_60",40,"Uninterested",7,0
"pattern_61",37,"Uninterested",6,0
"pattern_62",36,"Uninterested",6,0
"pattern_63",27,"Uninterested",5,0.333333333333333
"pattern_64",27,"Uninterested",5,0.333333333333333
"pattern_65",24,"Uninterested",5,0.333333333333333
"pattern_66",24,"Uninterested",6,0
"pattern_67",23,"Uninterested",7,0
"pattern_68",23,"Uninterested",4,0.5
"pattern_69",17,"Uninterested",7,0
"pattern_70",17,"Uninterested",4,0.333333333333333
"pattern_71",13,"Uninterested",7,0
"pattern_72",9,"Uninterested",7,0
"pattern_73",8,"Uninterested",6,0
"pattern_74",8,"Uninterested",6,0.333333333333333
"pattern_75",8,"Uninterested",4,0.5
"pattern_76",8,"Uninterested",6,0.333333333333333
"pattern_77",5,"Uninterested",6,0
"pattern_78",5,"Uninterested",5,0.333333333333333
"pattern_79",4,"Uninterested",5,0.333333333333333
"pattern_80",4,"Uninterested",7,0
"pattern_81",4,"Uninterested",7,0
"pattern_82",4,"Uninterested",5,0.5
"pattern_83",3,"Uninterested",5,0.5
"pattern_84",3,"Uninterested",6,0
"pattern_85",3,"Uninterested",6,0
"pattern_86",3,"Uninterested",6,0
"pattern_87",2,"Uninterested",6,0
"pattern_88",2,"Uninterested",7,0
"pattern_89",2,"Uninterested",7,0
"pattern_90",2,"Uninterested",4,0.333333333333333
"pattern_91",2,"Uninterested",5,0.333333333333333
"pattern_92",1,"Uninterested",5,0
"pattern_93",1,"Uninterested",5,0
"pattern_94",1,"Uninterested",5,0
"pattern_95",1,"Uninterested",6,0
"pattern_96",1,"Uninterested",8,0
"pattern_1",2454574,"Homo.Economicus",3,0
"pattern_2",1925014,"Homo.Economicus",5,0
"pattern_3",770625,"Homo.Economicus",5,0
"pattern_4",623923,"Homo.Economicus",4,0
"pattern_5",244544,"Homo.Economicus",5,0
"pattern_6",242964,"Homo.Economicus",3,0
"pattern_7",233847,"Homo.Economicus",4,0
"pattern_8",228131,"Homo.Economicus",6,0
"pattern_9",210400,"Homo.Economicus",5,0
"pattern_10",197114,"Homo.Economicus",6,0
"pattern_11",124662,"Homo.Economicus",5,0
"pattern_12",123316,"Homo.Economicus",5,0
"pattern_13",119161,"Homo.Economicus",4,0
"pattern_14",102416,"Homo.Economicus",5,0
"pattern_15",88306,"Homo.Economicus",4,0
"pattern_16",53067,"Homo.Economicus",5,0
"pattern_17",43838,"Homo.Economicus",4,0
"pattern_18",35259,"Homo.Economicus",4,0.333333333333333
