bootstrap_id,target_sample_type,target_electoral_group,n,prop_bootstrap
1,abstention,ABSTENTION,506,0.506
1,voter,AUTHORITARIAN,128,0.128
1,voter,CONSERVATIVE,129,0.129
1,voter,LEFT,68,0.068
1,voter,MODERATE,169,0.169
2,abstention,ABSTENTION,506,0.506
2,voter,AUTHORITARIAN,128,0.128
2,voter,CONSERVATIVE,129,0.129
2,voter,LEFT,68,0.068
2,voter,MODERATE,169,0.169
3,abstention,ABSTENTION,506,0.506
3,voter,AUTHORITARIAN,128,0.128
3,voter,CONSERVATIVE,129,0.129
3,voter,LEFT,68,0.068
3,voter,MODERATE,169,0.169
4,abstention,ABSTENTION,506,0.506
4,voter,AUTHORITARIAN,128,0.128
4,voter,CONSERVATIVE,129,0.129
4,voter,LEFT,68,0.068
4,voter,MODERATE,169,0.169
5,abstention,ABSTENTION,506,0.506
5,voter,AUTHORITARIAN,128,0.128
5,voter,CONSERVATIVE,129,0.129
5,voter,LEFT,68,0.068
5,voter,MODERATE,169,0.169
6,abstention,ABSTENTION,506,0.506
6,voter,AUTHORITARIAN,128,0.128
6,voter,CONSERVATIVE,129,0.129
6,voter,LEFT,68,0.068
6,voter,MODERATE,169,0.169
7,abstention,ABSTENTION,506,0.506
7,voter,AUTHORITARIAN,128,0.128
7,voter,CONSERVATIVE,129,0.129
7,voter,LEFT,68,0.068
7,voter,MODERATE,169,0.169
8,abstention,ABSTENTION,506,0.506
8,voter,AUTHORITARIAN,128,0.128
8,voter,CONSERVATIVE,129,0.129
8,voter,LEFT,68,0.068
8,voter,MODERATE,169,0.169
9,abstention,ABSTENTION,506,0.506
9,voter,AUTHORITARIAN,128,0.128
9,voter,CONSERVATIVE,129,0.129
9,voter,LEFT,68,0.068
9,voter,MODERATE,169,0.169
10,abstention,ABSTENTION,506,0.506
10,voter,AUTHORITARIAN,128,0.128
10,voter,CONSERVATIVE,129,0.129
10,voter,LEFT,68,0.068
10,voter,MODERATE,169,0.169
11,abstention,ABSTENTION,506,0.506
11,voter,AUTHORITARIAN,128,0.128
11,voter,CONSERVATIVE,129,0.129
11,voter,LEFT,68,0.068
11,voter,MODERATE,169,0.169
12,abstention,ABSTENTION,506,0.506
12,voter,AUTHORITARIAN,128,0.128
12,voter,CONSERVATIVE,129,0.129
12,voter,LEFT,68,0.068
12,voter,MODERATE,169,0.169
13,abstention,ABSTENTION,506,0.506
13,voter,AUTHORITARIAN,128,0.128
13,voter,CONSERVATIVE,129,0.129
13,voter,LEFT,68,0.068
13,voter,MODERATE,169,0.169
14,abstention,ABSTENTION,506,0.506
14,voter,AUTHORITARIAN,128,0.128
14,voter,CONSERVATIVE,129,0.129
14,voter,LEFT,68,0.068
14,voter,MODERATE,169,0.169
15,abstention,ABSTENTION,506,0.506
15,voter,AUTHORITARIAN,128,0.128
15,voter,CONSERVATIVE,129,0.129
