"scenario","type","reference","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-32","ext","experts",2,8,8,100,35.2675653594771
"10-32","ext","experts",4,8,8,100,30.1115061409179
"10-32","ext","experts",6,8,8,100,30.7063279857398
"10-32","ext","experts",8,8,8,100,30.189883645766
"10-32","ext","experts",10,8,8,100,31.0324754901961
"10-32","ext","experts",12,8,8,100,27.1113982873851
"10-32","ext","experts",14,8,8,100,26.3742806905371
"10-32","ext","experts",16,1,1,100,0
"10-32","ext","experts",18,1,1,100,0
"10-32","ext","experts",20,1,1,100,0
"10-32","pos","experts",2,8,8,100,33.5609243697479
"10-32","pos","experts",4,8,8,100,35.8731617647059
"10-32","pos","experts",6,8,8,100,35.4503676470588
"10-32","pos","experts",8,8,8,100,32.4741771708683
"10-32","pos","experts",10,8,8,100,30.4198762838469
"10-32","pos","experts",12,8,8,100,28.4335609243698
"10-32","pos","experts",14,7,7,100,32.0287062193298
"10-32","pos","experts",16,4,4,100,36.7752100840336
"10-32","pos","experts",18,2,2,100,48.6607142857143
"10-32","pos","experts",20,2,2,100,48.6607142857143
"10-9","ext","experts",2,8,8,100,0
"10-9","ext","experts",4,2,2,100,0
"10-9","ext","experts",6,2,2,100,0
"10-9","ext","experts",8,2,2,100,0
"10-9","ext","experts",10,1,1,100,0
"10-9","ext","experts",12,1,1,100,0
"10-9","ext","experts",14,1,1,100,0
"10-9","ext","experts",16,1,1,100,0
"10-9","ext","experts",18,1,1,100,0
"10-9","ext","experts",20,1,1,100,0
"10-9","pos","experts",2,5,5,100,0
"10-9","pos","experts",4,3,3,100,0
"10-9","pos","experts",6,1,1,100,0
"10-9","pos","experts",8,1,1,100,0
"10-9","pos","experts",10,1,1,100,0
"10-9","pos","experts",12,1,1,100,0
"10-9","pos","experts",14,1,1,100,0
"10-9","pos","experts",16,1,1,100,0
"10-9","pos","experts",18,1,1,100,0
"10-9","pos","experts",20,1,1,100,0
"100-32","ext","experts",2,8,8,100,31.8055555555556
"100-32","ext","experts",4,8,8,100,29.1311139840552
"100-32","ext","experts",6,8,8,100,30.8866501145913
"100-32","ext","experts",8,8,8,100,30.189883645766
"100-32","ext","experts",10,8,8,100,29.0805598555212
"100-32","ext","experts",12,8,8,100,28.2670677920291
"100-32","ext","experts",14,8,8,100,25.984907120743
"100-32","ext","experts",16,1,1,100,0
"100-32","ext","experts",18,1,1,100,0
"100-32","ext","experts",20,1,1,100,0
"100-32","pos","experts",2,8,8,100,33.5609243697479
"100-32","pos","experts",4,8,8,100,34.7045693277311
"100-32","pos","experts",6,8,8,100,35.4503676470588
"100-32","pos","experts",8,8,8,100,33.5456057422969
"100-32","pos","experts",10,8,8,100,33.3202030812325
"100-32","pos","experts",12,8,8,100,28.0678732816891
"100-32","pos","experts",14,6,6,100,30.7001572558848
"100-32","pos","experts",16,4,4,100,37.4718045112782
"100-32","pos","experts",18,3,3,100,40.2836134453782
"100-32","pos","experts",20,2,2,100,48.6607142857143
"100-9","ext","experts",2,8,8,100,0
"100-9","ext","experts",4,2,2,100,0
"100-9","ext","experts",6,2,2,100,0
"100-9","ext","experts",8,2,2,100,0
"100-9","ext","experts",10,1,1,100,0
"100-9","ext","experts",12,1,1,100,0
"100-9","ext","experts",14,1,1,100,0
"100-9","ext","experts",16,1,1,100,0
"100-9","ext","experts",18,1,1,100,0
"100-9","ext","experts",20,1,1,100,0
"100-9","pos","experts",2,5,5,100,0
"100-9","pos","experts",4,3,3,100,0
"100-9","pos","experts",6,1,1,100,0
"100-9","pos","experts",8,1,1,100,0
"100-9","pos","experts",10,1,1,100,0
"100-9","pos","experts",12,1,1,100,0
"100-9","pos","experts",14,1,1,100,0
"100-9","pos","experts",16,1,1,100,0
"100-9","pos","experts",18,1,1,100,0
"100-9","pos","experts",20,1,1,100,0
