"D","n_patterns_covered","freq_covered","pct_covered"
0,1,112680,14.085
1,22,121833,15.229125
2,76,146469,18.308625
3,197,176095,22.011875
4,427,202692,25.3365
5,836,254819,31.852375
6,1508,303632,37.954
7,2483,350343,43.792875
8,3763,385467,48.183375
9,5337,413423,51.677875
10,7213,436927,54.615875
11,9283,457516,57.1895
12,11427,477265,59.658125
13,13593,497535,62.191875
14,15668,519390,64.92375
15,32152,800000,100
16,32152,800000,100
17,32152,800000,100
18,32152,800000,100
19,32152,800000,100
20,32152,800000,100
