"archetype_id","cluster","frequency"
14,1,180
223,1,3
331,1,202
344,1,5
476,1,7240
493,1,1
558,1,22
576,1,135
597,1,37
656,1,34
697,1,7715
708,1,14
1181,1,9
1483,1,34
1618,1,7
1642,1,158
1680,1,63
1830,1,440
1944,1,46
1960,1,2336
2124,1,43955
2439,1,146
2480,1,31
2554,1,11
2598,1,29
2778,1,98
2998,1,77
3286,1,4
3296,1,300
3379,1,52
3671,1,1
3791,1,2585
3831,1,41
3993,1,1
4094,1,6
4117,1,2
4133,1,1430
4225,1,3
4278,1,10
4335,1,2
4406,1,11
4532,1,1
4645,1,12
4714,1,1
4960,1,442
5002,1,18
5369,1,19
5492,1,66
5516,1,33
5564,1,76
5648,1,387
5669,1,318
5846,1,121
5882,1,17
5957,1,2021
6014,1,2301
6116,1,138
6249,1,51
6550,1,1
6611,1,256
6694,1,3
6712,1,297
6850,1,1
7064,1,2
7159,1,2
7303,1,257
7370,1,352
7402,1,25
7604,1,37
7650,1,291
7838,1,1
8008,1,55
8385,1,40
8394,1,85
8445,1,47
8710,1,73
8719,1,367
8816,1,12
8905,1,50
8923,1,1765
8968,1,345
9081,1,636
9097,1,87
9157,1,215
9165,1,1
9457,1,193
9729,1,5
9753,1,1237
9768,1,12
10001,1,779
10043,1,289
10573,1,15
10595,1,25
11056,1,437
11132,1,9
11302,1,4
11412,1,1
11713,1,300
11729,1,12
11843,1,17563
11855,1,13
11875,1,1
12041,1,5332
12132,1,7981
12223,1,3
12418,1,12
12447,1,90
12449,1,467
12648,1,11
12897,1,1347
12935,1,1
13117,1,2
13465,1,389
13478,1,224
13484,1,1
13549,1,212
13791,1,224
14142,1,3
14262,1,2
14461,1,4
14728,1,1
14858,1,871
14934,1,73
15091,1,126
15234,1,1919
15410,1,70
15415,1,53
15504,1,21
15575,1,1444
15592,1,1
15645,1,2892
15881,1,1
15952,1,15232
15980,1,101
15986,1,1
16039,1,671
16409,1,73530
16452,1,174
16536,1,1985
16838,1,14
16892,1,92
17155,1,15
17268,1,25
17654,1,11
17750,1,500
17966,1,8
18062,1,366
18127,1,590
18203,1,13
18210,1,61
18278,1,221
18281,1,5
18377,1,453
18378,1,32
18379,1,20
18406,1,13646
18425,1,31
18670,1,4
56,2,1
147,2,1
424,2,29376
440,2,28
448,2,20
549,2,665
795,2,63342
854,2,1
1096,2,5
1140,2,450
1212,2,2
1436,2,5
1458,2,11
1471,2,3
1491,2,2
1517,2,463
1593,2,1
1620,2,4
1728,2,2
1759,2,249
1776,2,6
1822,2,514
2001,2,35
2076,2,7
2129,2,21
2231,2,28
2280,2,1
2316,2,5
2335,2,570
2478,2,181
2486,2,54
2768,2,100
2831,2,69
2936,2,6
3053,2,38
3122,2,1
3196,2,16
3305,2,2
3317,2,6
3364,2,4
3380,2,50
3462,2,2
3512,2,2
3914,2,1
4040,2,5
4118,2,1
4185,2,5909
4273,2,7443
4293,2,1
4370,2,27
4403,2,550
4444,2,150
4494,2,4
4670,2,31
4785,2,183
4993,2,7
5000,2,22106
5022,2,33
5179,2,6
5415,2,48
5535,2,3
5541,2,60
5584,2,7
6057,2,109
6139,2,1
6497,2,1
6510,2,1
6578,2,1
6666,2,220
6708,2,94
6808,2,4907
6995,2,89
7041,2,60
7311,2,6
7364,2,1
7457,2,10
7564,2,85
7858,2,40
7872,2,39
7917,2,6
8081,2,988
8140,2,205
8189,2,693
8201,2,420
8247,2,1
8355,2,28
8382,2,1
8389,2,100
8686,2,312
8878,2,16
9136,2,26
9141,2,16
9199,2,287
9500,2,2
9549,2,463
9564,2,2
9611,2,1961
9804,2,2594
9824,2,3947
10023,2,2
10126,2,66
10419,2,47
10588,2,1
10590,2,63
10592,2,15725
10652,2,9041
11065,2,1390
11087,2,62
11213,2,53
11403,2,8
11475,2,1
11597,2,6922
11663,2,440
11672,2,943
11792,2,357
11972,2,773
12084,2,2
12243,2,27
12428,2,377
12473,2,79
12592,2,4
12983,2,7
13101,2,3875
13602,2,10686
13745,2,338
13889,2,1
13921,2,4
14048,2,5
14098,2,5444
14321,2,4473
14708,2,1
14709,2,7
14784,2,22938
14838,2,89
14856,2,1
15090,2,2
15206,2,2
15284,2,3
15301,2,71
15477,2,114
15743,2,21
15769,2,3
15783,2,7
15840,2,23
15933,2,53
15981,2,6
16003,2,1663
16270,2,44
16374,2,95
16538,2,1
16730,2,2
16762,2,166
16874,2,49
17365,2,2
17388,2,57
17473,2,8998
17544,2,683
17598,2,18
17658,2,307
17671,2,2
17705,2,1
18109,2,5
18257,2,932
18358,2,218
18430,2,2532
18454,2,354
18478,2,10
18514,2,1
8,3,1
429,3,174
628,3,3
827,3,773
954,3,3
1344,3,44
1348,3,2
1751,3,364
2123,3,5
2266,3,32
2519,3,7
2663,3,1279
2896,3,1
3038,3,179
3138,3,8
3166,3,777
3207,3,4
3229,3,12
3242,3,205
3355,3,3
3358,3,15
3514,3,11
3728,3,4
4309,3,12
4376,3,8
4422,3,25
4431,3,50
4468,3,2
4917,3,2099
4962,3,1
6362,3,83
6776,3,598
6847,3,2
7046,3,4
7129,3,5376
7179,3,3263
7197,3,2
7363,3,371
7487,3,1
7785,3,17
8347,3,7
8363,3,185
8431,3,1938
9503,3,6
9783,3,1
9894,3,840
9985,3,4
10033,3,6
10501,3,4
10526,3,2
10564,3,539
10972,3,2703
11171,3,2
11242,3,511
11642,3,775
11752,3,1
11761,3,155
12226,3,2
12588,3,12
13293,3,4
13383,3,24
13422,3,1
13590,3,434
13654,3,2
13775,3,2
13792,3,3771
13890,3,195
13906,3,69
14124,3,15
14254,3,5
15034,3,17
15416,3,48702
15421,3,221
15469,3,8
16044,3,242
16340,3,29
16725,3,4
16774,3,35
17110,3,8
17184,3,1
17242,3,22
17292,3,521
18337,3,103
18649,3,8944
439,4,14
508,4,17
1314,4,1621
1559,4,5924
1687,4,1
1832,4,2
1930,4,225
2104,4,3
2268,4,16
2348,4,13
2627,4,17
2628,4,193
3509,4,1385
3584,4,4
3604,4,1
4235,4,512
4934,4,1
4944,4,2
5682,4,1
5997,4,2015
6246,4,2
7145,4,15
8036,4,4
8254,4,14
8341,4,1
8478,4,6
8486,4,1
8746,4,2
8940,4,1695
8964,4,2
9407,4,18
9433,4,366
9647,4,2
10121,4,439
10181,4,62
10723,4,3
10828,4,5
11758,4,4
12348,4,20
12370,4,27
12508,4,322
12786,4,265
13535,4,9
14143,4,1
14265,4,102
14840,4,249
15082,4,6
15097,4,1
15213,4,3732
15429,4,4481
15505,4,1
15680,4,2658
15907,4,54
16482,4,4090
16888,4,13
17197,4,6
17338,4,1
17890,4,16
18209,4,2
18357,4,1
18516,4,1
270,5,57
445,5,14
458,5,54
505,5,15
711,5,22
1109,5,4510
1307,5,97
1638,5,11
1683,5,1
2189,5,226
2418,5,15
2566,5,545
2576,5,8
2782,5,146
2788,5,33
2976,5,1
3599,5,37
3999,5,1
4388,5,1
4537,5,98
4924,5,220
5353,5,166
5385,5,241
5506,5,4
5699,5,8
5767,5,36
6001,5,21
6095,5,2
6250,5,71
6540,5,2304
7639,5,3
8610,5,452
9040,5,9
9230,5,1500
9297,5,2
9608,5,78
9778,5,1
10130,5,2
10661,5,24
10749,5,146
10807,5,2
11043,5,3
11190,5,8
11222,5,17
11415,5,1
12135,5,223
12607,5,21
12645,5,1
12839,5,1
12851,5,17
12868,5,168
13187,5,2
13259,5,45
13548,5,1
13818,5,37
13830,5,2
13844,5,3
13939,5,1
13997,5,1
14115,5,1
14872,5,1
15134,5,113
15465,5,33
16602,5,563
16832,5,2057
16898,5,241
17187,5,3747
17264,5,1
17759,5,102
17799,5,343
17910,5,45
17926,5,5
18115,5,32
18222,5,94
18601,5,157
315,6,1
510,6,6
1300,6,41
1369,6,100
1561,6,18
1676,6,3
1684,6,36
1732,6,9
1789,6,5
1826,6,4
1857,6,122
1899,6,1
1940,6,924
2105,6,2
2259,6,391
2692,6,34
2759,6,4227
2830,6,8
2932,6,7
2955,6,5
3426,6,119
3598,6,8
3699,6,2
3995,6,1522
4041,6,1
4060,6,432
4302,6,27
4305,6,151
4762,6,8
4765,6,6
4778,6,2047
4824,6,3
4862,6,68
4882,6,3
5386,6,2
5397,6,2
5465,6,1278
5561,6,12
6084,6,2
6138,6,2
6260,6,1434
6338,6,1
6394,6,1
6843,6,16
6918,6,61
6938,6,1
7198,6,117
7207,6,4
7245,6,589
7360,6,1
7626,6,15
7835,6,5
7932,6,7
7934,6,2
8261,6,1
8327,6,14
8354,6,61
8483,6,214
8565,6,3
8792,6,228
8809,6,108
8840,6,50
9001,6,1
9121,6,18
9318,6,1560
9463,6,9
9627,6,97
9709,6,1
9749,6,1
9831,6,14
9839,6,2
10219,6,33
10534,6,600
10612,6,1
10757,6,1383
10913,6,7
11317,6,19
11332,6,7
11429,6,467
11797,6,1
11888,6,717
12023,6,311
12076,6,1
12105,6,9
12108,6,18
12296,6,3
12417,6,34
12439,6,254
12565,6,1
12676,6,1
13199,6,1233
13436,6,2
13523,6,182
13542,6,1
13604,6,9
14294,6,155
14524,6,9
14976,6,3
15033,6,1188
15172,6,1
15579,6,1
15957,6,241
15976,6,24
16141,6,345
16551,6,63
16577,6,6
16726,6,620
16829,6,736
16844,6,235
17031,6,2
17276,6,193
17325,6,13
17398,6,1389
17574,6,187
18174,6,8
18435,6,60
35,7,44
131,7,7
373,7,1
724,7,95
1107,7,20
1118,7,40
1200,7,1
1336,7,19
1626,7,18
1854,7,8
2427,7,1
2545,7,1
2796,7,1
3101,7,3
3150,7,16
3227,7,83
3241,7,396
3280,7,12
3378,7,98
3918,7,2
4035,7,138
4463,7,4
4585,7,200
4856,7,13
4870,7,3
4939,7,1
4971,7,217
5134,7,1
5458,7,1
5525,7,83
6044,7,4
6359,7,2
6383,7,2
6414,7,13
6615,7,3849
6660,7,16
6752,7,1
6792,7,243
6994,7,2
7170,7,8
7328,7,100
7491,7,1
7648,7,1
7739,7,149
7886,7,758
8124,7,187
8203,7,1
8362,7,45
8439,7,33
8884,7,1
8933,7,294
9038,7,1
9828,7,43
9951,7,685
10044,7,1
10109,7,59
10390,7,70
10436,7,9
10510,7,11
10549,7,215
10681,7,10
10832,7,75
10874,7,6
10884,7,7
10992,7,2
11007,7,3
11212,7,28
11214,7,4
11338,7,158
11405,7,30
11480,7,2
11562,7,14
12025,7,107
12056,7,1
12172,7,11
12315,7,1
12369,7,1
12430,7,8
12511,7,4
12529,7,2
12705,7,1
12903,7,3
12904,7,2
12999,7,8
13197,7,7
13401,7,37
13489,7,5
13639,7,26
13718,7,52
13738,7,19
13885,7,5
14024,7,1
14227,7,82
14289,7,7
14318,7,4
14420,7,1
14767,7,2
14868,7,4
14885,7,3
14963,7,1
14975,7,129
15046,7,76
15180,7,3
15521,7,43
15646,7,36
15655,7,5
15667,7,9
15827,7,54
15870,7,9
15941,7,23
16010,7,6
16028,7,19
16099,7,310
16229,7,130
16331,7,3
16355,7,324
16429,7,1
16522,7,6
16819,7,1
16952,7,3
17053,7,39
17129,7,20
17130,7,2
17261,7,5
17616,7,1
17804,7,5
18168,7,14
18290,7,9
18329,7,55
18334,7,13
18532,7,28
18611,7,322
18618,7,1
498,8,1092
608,8,4
738,8,5
848,8,1
1217,8,23
2080,8,1
2102,8,91
2750,8,177
3510,8,57
3637,8,277
4442,8,79
4452,8,2
4795,8,183
4894,8,64
5018,8,1
5260,8,286
5646,8,679
5761,8,613
6888,8,8
7069,8,8
7118,8,81
7351,8,1
7973,8,33
8292,8,1
8939,8,6
9488,8,68
9692,8,10
10071,8,1
10395,8,3
10473,8,14
11206,8,26
11411,8,598
11957,8,7
11985,8,6
12054,8,1
12320,8,61
12665,8,12
12746,8,465
13288,8,1
13308,8,118
13713,8,4
14041,8,12
14151,8,93
14308,8,1
14370,8,5
14683,8,2
14793,8,16
15154,8,9
