sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,status,error_message,warnings,n_rows,n_unique_participants,AIC,BIC,logLik,n_terms_with_p,n_significant_terms
bootstrap,bootstrap sintético,200,1,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1239.7260092180193,1270.5045168045324,-612.8630046090096,6,5
bootstrap,bootstrap sintético,200,1,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,785.4650949039124,855.8159693873707,-376.7325474519562,15,11
bootstrap,bootstrap sintético,200,1,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,"(3) Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables? 
In addition: Absolute and relative convergence criteria were met",600,200,651.1325524813476,809.4220200691288,-289.5662762406738,35,18
bootstrap,bootstrap sintético,200,1,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(3) Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables? 
In addition: Absolute and relative convergence criteria were met",600,200,637.9630007754185,866.6033428466582,-266.9815003877093,51,22
bootstrap,bootstrap sintético,200,2,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1212.8865349173825,1243.6650425038956,-599.4432674586913,6,5
bootstrap,bootstrap sintético,200,2,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,757.3106070660356,827.6614815494939,-362.6553035330178,15,11
bootstrap,bootstrap sintético,200,2,M2_REDUCED,M2 reducido: interacciones teóricas,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + macro_archetype_5:(z_STIMULATION +      z_PHYSIOLOGICAL + z_FINANCIAL + z_AUTONOMY + z_MEANING) +      (1 | participant_id),ok,NA,"(3) Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables? 
In addition: Absolute and relative convergence criteria were met",600,200,647.4109346921105,805.7004022798917,-287.70546734605523,35,16
bootstrap,bootstrap sintético,200,2,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,adoption_stage ~ macro_archetype_5 * (z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING) + (1 | participant_id),ok,NA,"(3) Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables? 
In addition: Absolute and relative convergence criteria were met",600,200,638.58882611755,867.2291681887896,-267.294413058775,51,17
bootstrap,bootstrap sintético,200,3,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),ok,NA,,600,200,1165.9617041888328,1196.7402117753459,-575.9808520944164,0,0
bootstrap,bootstrap sintético,200,3,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),ok,NA,,600,200,714.71408280482,785.0649572882784,-341.35704140241,0,0
