term,estimate,std.error,statistic,p.value,coef.type,sample_label,sample_label_es,n_participants,boot_id,model_type,model_label,formula,term_label,tipo_termino,is_significant
Knowledge|Considering,-1.2596700070175944,0.07961683488670342,-15.821653910383823,2.2062019078282097e-56,intercept,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Knowledge|Considering,Umbral de etapa,TRUE
Considering|Done,0.5968793505874105,0.07480546844954299,7.979087130374852,1.4741948723599785e-15,intercept,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Considering|Done,Umbral de etapa,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,0.6274706984697527,0.09519047387339762,6.591738363486692,4.3470618520555604e-11,location,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,TRUE
macro_archetype_5G3_Fearful_Careful,-1.08930525096871,0.1053231798997318,-10.342502495706396,4.525624441240046e-25,location,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,TRUE
macro_archetype_5G4_HomoEconomicus,-0.5800495756385172,0.13183086026311616,-4.399952897833015,1.0827437747805086e-5,location,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G4 HomoEconomicus,Arquetipo,TRUE
macro_archetype_5G5_Uninterested,-1.8510345641120056,0.14386453712514888,-12.866510406951619,6.947051666164848e-38,location,full,muestra completa,1000,0,M0,M0: solo arquetipo,adoption_stage ~ macro_archetype_5 + (1 | participant_id),Arquetipo: G5 Uninterested,Arquetipo,TRUE
Knowledge|Considering,2.948667774314815,0.55251568287448,5.336803760889246,9.45993279788746e-8,intercept,full,muestra completa,1000,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Knowledge|Considering,Umbral de etapa,TRUE
Considering|Done,6.642104661182359,0.5907089447703574,11.244293352904158,2.470672678010754e-29,intercept,full,muestra completa,1000,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Considering|Done,Umbral de etapa,TRUE
macro_archetype_5G2_EarlyAdopter_Influencer,1.7455310635876382,0.1538538370465895,11.345385315668548,7.818110085378922e-30,location,full,muestra completa,1000,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,TRUE
macro_archetype_5G3_Fearful_Careful,5.798245893600152,0.27355366722225094,21.196008638733836,1.0394744799421325e-99,location,full,muestra completa,1000,0,M1,M1: arquetipo + dimensiones,adoption_stage ~ macro_archetype_5 + z_FINANCIAL + z_SECURITY +      z_COMPETENCE + z_AUTONOMY + z_PHYSIOLOGICAL + z_RELATEDNESS +      z_STIMULATION + z_POPULARITY + z_MEANING + (1 | participant_id),Arquetipo: G3 Fearful Careful,Arquetipo,TRUE
