n_participants,model_type,model_label,term,term_label,tipo_termino,n_boot_with_term,n_significant,mean_estimate,sd_estimate,mean_p_value,median_p_value,n_ok_models,significance_rate,conditional_significance_rate,term_presence_rate
200,M0,M0: solo arquetipo,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,3,3,-1.1115479699195672,0.08112969111139565,9.807718898232402e-9,3.1243962136997696e-9,5,0.6,1,0.6
200,M0,M0: solo arquetipo,macro_archetype_5G5_Uninterested,Arquetipo: G5 Uninterested,Arquetipo,3,3,-1.6560341344394127,0.10413818198427803,8.745233982918832e-6,4.637361073940204e-6,5,0.6,1,0.6
200,M0,M0: solo arquetipo,macro_archetype_5G3_Fearful_Careful,Arquetipo: G3 Fearful Careful,Arquetipo,3,3,-0.8782962010471722,0.12077952268312779,3.3004479921189484e-4,4.7216864557781036e-4,5,0.6,1,0.6
200,M0,M0: solo arquetipo,Considering|Done,Considering|Done,Umbral de etapa,3,3,0.6338536819151543,0.10389434273278728,0.0017710086770341786,0.0014015140658903754,5,0.6,1,0.6
200,M0,M0: solo arquetipo,macro_archetype_5G2_EarlyAdopter_Influencer,Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,3,3,0.769085606312345,0.24098607273928763,0.0052207494574033906,0.001987116684839165,5,0.6,1,0.6
200,M0,M0: solo arquetipo,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,3,0,-0.31724592275029256,0.31901210645934547,0.35075800297617155,0.10244334075688608,5,0,0,0.6
200,M1,M1: arquetipo + dimensiones,z_AUTONOMY,Dimensión: Autonomía,Dimensión,3,3,0.18785387656020386,0.020356926547460553,1.1436147619132838e-26,1.8512026520643266e-30,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,macro_archetype_5G3_Fearful_Careful,Arquetipo: G3 Fearful Careful,Arquetipo,3,3,5.60816543513425,0.307562478850296,7.788657410023202e-21,2.7320554735775564e-21,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,z_SECURITY,Dimensión: Seguridad,Dimensión,3,3,-0.1337996148112489,0.007942059182680582,2.0728138923079002e-16,3.6854547621150883e-17,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,3,3,5.532470827595767,0.20224092423823284,3.084378009358882e-14,5.309445677266214e-16,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,macro_archetype_5G5_Uninterested,Arquetipo: G5 Uninterested,Arquetipo,3,3,3.9003354398787367,0.3827342727351773,1.6882171665473733e-9,6.841788488041504e-10,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,z_MEANING,Dimensión: Significado,Dimensión,3,3,0.08706607042021683,0.008840635089041902,2.617070106055057e-7,4.910952235675512e-10,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer,Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,3,3,1.7112639188412708,0.10039592540415967,8.353314003305767e-7,5.039325807964561e-7,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,z_PHYSIOLOGICAL,Dimensión: Materialidad,Dimensión,3,3,-0.050740786307509965,0.006095948451139129,2.4761891139508067e-6,2.9606127133197103e-7,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,Considering|Done,Considering|Done,Umbral de etapa,3,3,6.600156113386537,1.6602227630534885,1.3620771706689062e-5,1.231973716703657e-6,5,0.6,1,0.6
200,M1,M1: arquetipo + dimensiones,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,3,2,3.203571495252501,1.5349880242984886,0.06458146853779202,0.007554423046716683,5,0.4,0.6666666666666666,0.6
200,M1,M1: arquetipo + dimensiones,z_POPULARITY,Dimensión: Popularidad,Dimensión,3,1,0.020932998388962468,0.008938458331856526,0.12058680100918025,0.09699985518937979,5,0.2,0.3333333333333333,0.6
200,M1,M1: arquetipo + dimensiones,z_COMPETENCE,Dimensión: Competencia,Dimensión,3,1,-0.020559946373716866,0.011809802314234251,0.23621763453797012,0.1308454372008746,5,0.2,0.3333333333333333,0.6
200,M1,M1: arquetipo + dimensiones,z_STIMULATION,Dimensión: Estímulo,Dimensión,3,1,0.009695890758673126,0.013421590505171657,0.5950906621570246,0.7633489410691932,5,0.2,0.3333333333333333,0.6
200,M1,M1: arquetipo + dimensiones,z_FINANCIAL,Dimensión: Seguridad financiera,Dimensión,3,0,-0.015347699080291106,0.012319806604344685,0.39542274899700347,0.22929442653970608,5,0,0,0.6
200,M1,M1: arquetipo + dimensiones,z_RELATEDNESS,Dimensión: Vinculación,Dimensión,3,0,-0.01858203601825972,0.016398599862686342,0.4068927116889044,0.19939010771274915,5,0,0,0.6
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_AUTONOMY,Dimensión: Autonomía,Dimensión,5,5,0.2550114660079357,0.0543674476898891,9.114243444611481e-6,1.3420366991127382e-9,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Seguridad financiera,Interacción,5,5,0.2986177144503495,0.06317882705727049,1.1210616750486683e-5,1.1962526664301048e-7,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,Considering|Done,Considering|Done,Umbral de etapa,5,5,17.916028287510144,3.6666337466971295,1.866296747493334e-5,2.395772440706612e-6,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful,Arquetipo: G3 Fearful Careful,Arquetipo,5,5,22.718397769876763,5.546400694108398,6.437445228104834e-4,2.023117578273856e-6,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,Arquetipo: G3 Fearful Careful x Dimensión: Materialidad,Interacción,5,5,-0.16550877194539806,0.035520673293921154,0.0023617889489627383,3.6193512914124575e-5,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,5,5,12.744105568971165,3.6117743417040655,0.0024831042641779073,7.890569910760521e-4,5,1,1,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_FINANCIAL,Dimensión: Seguridad financiera,Dimensión,5,4,-0.14058991076784996,0.04610239179011867,0.010626568972154572,7.583223017398884e-4,5,0.8,0.8,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_SECURITY,Dimensión: Seguridad,Dimensión,5,4,-0.1468492058341551,0.055504385079758,0.04411013759832363,1.7419638275570628e-4,5,0.8,0.8,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,Arquetipo: G5 Uninterested x Dimensión: Materialidad,Interacción,5,4,-0.2523947405681139,0.06725160885198735,0.0783934892391705,9.245143589523707e-4,5,0.8,0.8,1
