country_code,income_band,target_prop,target_prop_effective,mean_boot_prop,sd_boot_prop,min_boot_prop,q25_boot_prop,median_boot_prop,q75_boot_prop,max_boot_prop
MX,<15000,0.848,0.848,0.8472591876208897,0.01624671447708946,0.7852998065764023,0.8355899419729207,0.8471953578336557,0.8588007736943907,0.8974854932301741
MX,15000_30000,0.112,0.112,0.11249709864603481,0.01442721107448285,0.059961315280464215,0.10251450676982592,0.11218568665377177,0.1218568665377176,0.16827852998065765
MX,30000_50000,0.02799999999999999,0.02799999999999999,0.028135396518375242,0.007395386907972626,0.0038684719535783366,0.02321083172147002,0.027079303675048357,0.03288201160541586,0.05609284332688588
MX,50000_100000,0.008,0.008,0.008046421663442941,0.004003767873919484,0,0.005802707930367505,0.007736943907156673,0.009671179883945842,0.02127659574468085
MX,>100000,0.004,0.004,0.004061895551257254,0.0028963478682856097,0,0.0019342359767891683,0.0038684719535783366,0.005802707930367505,0.019342359767891684
CL,<15000,0.754,0.754,0.7536410256410256,0.04772469468498144,0.6025641025641025,0.717948717948718,0.7564102564102564,0.782051282051282,0.8846153846153846
CL,15000_30000,0.161,0.161,0.16034615384615383,0.04150448006883427,0.038461538461538464,0.1282051282051282,0.15384615384615385,0.19230769230769232,0.3076923076923077
CL,30000_50000,0.052,0.052,0.05233333333333333,0.025093864247349686,0,0.038461538461538464,0.05128205128205128,0.0641025641025641,0.15384615384615385
CL,50000_100000,0.024,0.024,0.0243974358974359,0.01718804029519976,0,0.01282051282051282,0.02564102564102564,0.038461538461538464,0.08974358974358974
CL,>100000,0.009,0.009,0.009282051282051281,0.010668920161647116,0,0,0.01282051282051282,0.01282051282051282,0.05128205128205128
CO,<15000,0.889,0.9164948453608248,0.9137692307692308,0.07865001511845097,0.6153846153846154,0.8461538461538461,0.9230769230769231,1,1
CO,15000_30000,0.081,0.08350515463917527,0.08623076923076924,0.07865001511845099,0,0,0.07692307692307693,0.15384615384615385,0.38461538461538464
CO,30000_50000,0.019,0,0,0,0,0,0,0,0
CO,50000_100000,0.008,0,0,0,0,0,0,0,0
CO,>100000,0.003,0,0,0,0,0,0,0,0
