dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
diego,det_01_profits,1899,0,0,0
diego,det_02_credit_score,1899,0,0,0
diego,det_03_risk_profile,1899,0,0,0
diego,det_04_added_value,1899,0,0,0
diego,det_05_frugality,1899,0,0,0
diego,det_06_climate_protection,1899,0,0,0
diego,det_07_legal,1899,0,0,0
diego,det_08_trust,1899,0,0,0
diego,det_09_safety,1899,0,0,0
diego,det_10_cost_efficiency,1899,0,0,0
diego,det_11_knowledge,1899,0,0,0
diego,det_12_own_competence,1899,0,0,0
diego,det_13_technical_fit,1899,0,0,0
diego,det_14_environmental_concerns,1899,0,0,0
diego,det_15_self_satisfaction,1899,0,0,0
diego,det_16_commitment,1899,0,0,0
diego,det_17_adherence,1899,0,0,0
diego,det_18_autonomy,1899,0,0,0
diego,det_19_wellbeing,1899,0,0,0
diego,det_20_coziness,1899,0,0,0
diego,det_21_rights_and_duties,1899,0,0,0
diego,det_22_peer_pressure,1899,0,0,0
diego,det_23_support,1899,0,0,0
diego,det_24_socialising,1899,0,0,0
diego,det_25_agreement,1899,0,0,0
diego,det_26_novelty,1899,0,0,0
diego,det_27_fun,1899,0,0,0
diego,det_28_recognition,1899,0,0,0
diego,det_29_trends,1899,0,0,0
diego,det_30_authority,1899,0,0,0
diego,det_31_approval,1899,0,0,0
diego,det_32_own_significance,1899,0,0,0
rv,det_01_profits,1229,323,0.2628152969894223,0
rv,det_02_credit_score,1229,337,0.274206672091131,0
rv,det_03_risk_profile,1229,334,0.27176566314076483,0
rv,det_04_added_value,1229,342,0.27827502034174123,0
rv,det_05_frugality,1229,340,0.2766476810414972,0
rv,det_06_climate_protection,1229,297,0.24165988608624897,0
rv,det_07_legal,1229,328,0.26688364524003255,0
rv,det_08_trust,1229,314,0.2554922701383238,0
rv,det_09_safety,1229,327,0.2660699755899105,0
rv,det_10_cost_efficiency,1229,312,0.25386493083807976,0
rv,det_11_knowledge,1229,298,0.24247355573637103,0
rv,det_12_own_competence,1229,348,0.28315703824247357,0
rv,det_13_technical_fit,1229,309,0.25142392188771356,0
rv,det_14_environmental_concerns,1229,300,0.24410089503661514,0
rv,det_15_self_satisfaction,1229,309,0.25142392188771356,0
rv,det_16_commitment,1229,317,0.25793327908869,0
rv,det_17_adherence,1229,330,0.26851098454027666,0
rv,det_18_autonomy,1229,328,0.26688364524003255,0
rv,det_19_wellbeing,1229,308,0.25061025223759154,0
rv,det_20_coziness,1229,325,0.2644426362896664,0
rv,det_21_rights_and_duties,1229,318,0.25874694873881204,0
rv,det_22_peer_pressure,1229,315,0.2563059397884459,0
rv,det_23_support,1229,345,0.2807160292921074,0
rv,det_24_socialising,1229,330,0.26851098454027666,0
rv,det_25_agreement,1229,325,0.2644426362896664,0
rv,det_26_novelty,1229,331,0.2693246541903987,0
rv,det_27_fun,1229,341,0.2774613506916192,0
rv,det_28_recognition,1229,311,0.2530512611879577,0
rv,det_29_trends,1229,321,0.2611879576891782,0
rv,det_30_authority,1229,342,0.27827502034174123,0
rv,det_31_approval,1229,309,0.25142392188771356,0
rv,det_32_own_significance,1229,323,0.2628152969894223,0
why,det_01_profits,990,21,0.021212121212121213,0
why,det_02_credit_score,990,26,0.026262626262626262,0
why,det_03_risk_profile,990,25,0.025252525252525252,0
why,det_04_added_value,990,31,0.031313131313131314,0
why,det_05_frugality,990,22,0.022222222222222223,0
why,det_06_climate_protection,990,23,0.023232323232323233,0
why,det_07_legal,990,24,0.024242424242424242,0
why,det_08_trust,990,29,0.029292929292929294,0
why,det_09_safety,990,23,0.023232323232323233,0
why,det_10_cost_efficiency,990,21,0.021212121212121213,0
why,det_11_knowledge,990,16,0.01616161616161616,0
why,det_12_own_competence,990,29,0.029292929292929294,0
why,det_13_technical_fit,990,22,0.022222222222222223,0
why,det_14_environmental_concerns,990,21,0.021212121212121213,0
why,det_15_self_satisfaction,990,16,0.01616161616161616,0
why,det_16_commitment,990,25,0.025252525252525252,0
why,det_17_adherence,990,22,0.022222222222222223,0
why,det_18_autonomy,990,34,0.03434343434343434,0
why,det_19_wellbeing,990,23,0.023232323232323233,0
why,det_20_coziness,990,22,0.022222222222222223,0
why,det_21_rights_and_duties,990,27,0.02727272727272727,0
why,det_22_peer_pressure,990,23,0.023232323232323233,0
why,det_23_support,990,22,0.022222222222222223,0
why,det_24_socialising,990,23,0.023232323232323233,0
why,det_25_agreement,990,26,0.026262626262626262,0
why,det_26_novelty,990,25,0.025252525252525252,0
why,det_27_fun,990,27,0.02727272727272727,0
why,det_28_recognition,990,19,0.01919191919191919,0
why,det_29_trends,990,18,0.01818181818181818,0
why,det_30_authority,990,25,0.025252525252525252,0
why,det_31_approval,990,21,0.021212121212121213,0
why,det_32_own_significance,990,26,0.026262626262626262,0
