"scenario","type","reference","K","D","n_clusters","n_matched","pct_matched","mean_jaccard_exclusive"
"10-9","ext","experts",1,0,1,1,100,0
"10-9","ext","experts",1,2,1,1,100,0
"10-9","ext","experts",1,4,1,1,100,0
"10-9","ext","experts",1,6,1,1,100,0
"10-9","ext","experts",1,8,1,1,100,0
"10-9","ext","experts",1,10,1,1,100,0
"10-9","ext","experts",2,0,2,2,100,25
"10-9","ext","experts",2,2,2,2,100,33.3333333333333
"10-9","ext","experts",2,4,2,2,100,27.7777777777778
"10-9","ext","experts",2,6,2,2,100,27.7777777777778
"10-9","ext","experts",2,8,2,2,100,27.7777777777778
"10-9","ext","experts",2,10,1,1,100,0
"10-9","ext","experts",3,0,3,3,100,38.8888888888889
"10-9","ext","experts",3,2,3,3,100,40.7407407407407
"10-9","ext","experts",3,4,2,2,100,27.7777777777778
"10-9","ext","experts",3,6,2,2,100,27.7777777777778
"10-9","ext","experts",3,8,2,2,100,27.7777777777778
"10-9","ext","experts",3,10,1,1,100,0
"10-9","ext","experts",4,0,4,4,100,34.1666666666667
"10-9","ext","experts",4,2,4,4,100,40.5555555555556
"10-9","ext","experts",4,4,2,2,100,27.7777777777778
"10-9","ext","experts",4,6,2,2,100,27.7777777777778
"10-9","ext","experts",4,8,2,2,100,27.7777777777778
"10-9","ext","experts",4,10,1,1,100,0
"10-9","ext","experts",5,0,5,5,100,37.3333333333333
"10-9","ext","experts",5,2,5,5,100,49.1111111111111
"10-9","ext","experts",5,4,2,2,100,27.7777777777778
"10-9","ext","experts",5,6,2,2,100,27.7777777777778
"10-9","ext","experts",5,8,2,2,100,27.7777777777778
"10-9","ext","experts",5,10,1,1,100,0
"10-9","ext","experts",6,0,6,6,100,43.6111111111111
"10-9","ext","experts",6,2,6,6,100,53.4259259259259
"10-9","ext","experts",6,4,2,2,100,27.7777777777778
"10-9","ext","experts",6,6,2,2,100,27.7777777777778
"10-9","ext","experts",6,8,2,2,100,27.7777777777778
"10-9","ext","experts",6,10,1,1,100,0
"10-9","ext","experts",7,0,7,7,100,43.7301587301587
"10-9","ext","experts",7,2,7,7,100,54.3650793650794
"10-9","ext","experts",7,4,2,2,100,27.7777777777778
"10-9","ext","experts",7,6,2,2,100,27.7777777777778
"10-9","ext","experts",7,8,2,2,100,27.7777777777778
"10-9","ext","experts",7,10,1,1,100,0
"10-9","ext","experts",8,0,8,8,100,44.5138888888889
"10-9","ext","experts",8,2,8,8,100,52.4305555555556
"10-9","ext","experts",8,4,2,2,100,27.7777777777778
"10-9","ext","experts",8,6,2,2,100,27.7777777777778
"10-9","ext","experts",8,8,2,2,100,27.7777777777778
"10-9","ext","experts",8,10,1,1,100,0
"10-9","pos","experts",1,0,1,1,100,100
"10-9","pos","experts",1,2,1,1,100,100
"10-9","pos","experts",1,4,1,1,100,100
"10-9","pos","experts",1,6,1,1,100,100
"10-9","pos","experts",1,8,1,1,100,100
"10-9","pos","experts",1,10,1,1,100,100
"10-9","pos","experts",2,0,2,2,100,77.7777777777778
"10-9","pos","experts",2,2,2,2,100,77.7777777777778
"10-9","pos","experts",2,4,2,2,100,75
"10-9","pos","experts",2,6,2,2,100,71.4285714285714
"10-9","pos","experts",2,8,1,1,100,100
"10-9","pos","experts",2,10,1,1,100,100
"10-9","pos","experts",3,0,3,3,100,85.1851851851852
"10-9","pos","experts",3,2,3,3,100,85.1851851851852
"10-9","pos","experts",3,4,3,3,100,50
"10-9","pos","experts",3,6,2,2,100,71.4285714285714
"10-9","pos","experts",3,8,1,1,100,100
"10-9","pos","experts",3,10,1,1,100,100
"10-9","pos","experts",4,0,4,4,100,80.5555555555556
"10-9","pos","experts",4,2,4,4,100,80.5555555555556
"10-9","pos","experts",4,4,3,3,100,50
"10-9","pos","experts",4,6,2,2,100,71.4285714285714
"10-9","pos","experts",4,8,1,1,100,100
"10-9","pos","experts",4,10,1,1,100,100
"10-9","pos","experts",5,0,5,5,100,74.7222222222222
"10-9","pos","experts",5,2,5,5,100,69.4444444444444
