analysis_sample,determinant,sample_mean,sample_sd_original,sample_sd_used,sd_replaced
WHY_EUROPE,det_01_profits,60.10477178423236,24.26871071741467,24.26871071741467,FALSE
WHY_EUROPE,det_02_credit_score,71.3038501560874,21.416292370782983,21.416292370782983,FALSE
WHY_EUROPE,det_03_risk_profile,70.06041666666665,17.83128250871083,17.83128250871083,FALSE
WHY_EUROPE,det_04_added_value,54.639498432601876,21.607003043025312,21.607003043025312,FALSE
WHY_EUROPE,det_05_frugality,61.32987551867218,22.593640371549267,22.593640371549267,FALSE
WHY_EUROPE,det_06_climate_protection,54.56711758584807,24.452460700044124,24.452460700044124,FALSE
WHY_EUROPE,det_07_legal,65.59751037344397,23.077678975585936,23.077678975585936,FALSE
WHY_EUROPE,det_08_trust,72.54327424400417,19.477838006353448,19.477838006353448,FALSE
WHY_EUROPE,det_09_safety,65.72095435684645,19.843152801582452,19.843152801582452,FALSE
WHY_EUROPE,det_10_cost_efficiency,77.98963730569949,17.539637871191893,17.539637871191893,FALSE
WHY_EUROPE,det_11_knowledge,76.85345717234262,18.65711679620363,18.65711679620363,FALSE
WHY_EUROPE,det_12_own_competence,63.27453027139874,20.732832999838376,20.732832999838376,FALSE
WHY_EUROPE,det_13_technical_fit,71.66873706004142,19.149101248115688,19.149101248115688,FALSE
WHY_EUROPE,det_14_environmental_concerns,64.29430051813472,22.9543209271141,22.9543209271141,FALSE
WHY_EUROPE,det_15_self_satisfaction,76.42105263157895,16.39480020263164,16.39480020263164,FALSE
WHY_EUROPE,det_16_commitment,68.67151767151768,18.36694423594422,18.36694423594422,FALSE
WHY_EUROPE,det_17_adherence,73.07676348547719,17.970967688165572,17.970967688165572,FALSE
WHY_EUROPE,det_18_autonomy,60.35052631578948,21.124107022779512,21.124107022779512,FALSE
WHY_EUROPE,det_19_wellbeing,64.28794178794178,21.403055402601925,21.403055402601925,FALSE
WHY_EUROPE,det_20_coziness,59.6039501039501,21.54525051997241,21.54525051997241,FALSE
WHY_EUROPE,det_21_rights_and_duties,61.21458333333333,22.851923839884314,22.851923839884314,FALSE
WHY_EUROPE,det_22_peer_pressure,41.58463136033228,23.628092369177317,23.628092369177317,FALSE
WHY_EUROPE,det_23_support,46.46473029045644,24.322764760548147,24.322764760548147,FALSE
WHY_EUROPE,det_24_socialising,28.394190871369286,22.102945384534888,22.102945384534888,FALSE
WHY_EUROPE,det_25_agreement,47.72708333333334,24.331532167019752,24.331532167019752,FALSE
WHY_EUROPE,det_26_novelty,50.19833852544133,25.09767027773072,25.09767027773072,FALSE
WHY_EUROPE,det_27_fun,40.436913451511984,23.93030793914777,23.93030793914777,FALSE
WHY_EUROPE,det_28_recognition,26.028955532574976,23.711717304336968,23.711717304336968,FALSE
WHY_EUROPE,det_29_trends,30.27611168562564,22.94216506946266,22.94216506946266,FALSE
WHY_EUROPE,det_30_authority,33.54885654885656,23.543972271578838,23.543972271578838,FALSE
WHY_EUROPE,det_31_approval,22.080661840744565,20.447572417795126,20.447572417795126,FALSE
WHY_EUROPE,det_32_own_significance,54.448491155046824,22.569976838531492,22.569976838531492,FALSE
