age_group_pyramid,gender,generation_pyramid,n,percentage
19-25,Female,Generation Z,25,6.6
19-25,Male,Generation Z,11,2.9
26-30,Female,Millennials,40,10.5
26-30,Male,Millennials,18,4.7
31-35,Female,Millennials,25,6.6
31-35,Male,Millennials,17,4.5
36-40,Female,Millennials,27,7.1
36-40,Male,Millennials,14,3.7
41-45,Female,Generation X,16,4.2
41-45,Male,Generation X,23,6
46-50,Female,Generation X,14,3.7
46-50,Male,Generation X,16,4.2
51-55,Female,Generation X,14,3.7
51-55,Male,Generation X,17,4.5
56-60,Female,Boomers +,14,3.7
56-60,Male,Boomers +,25,6.6
61-65,Female,Boomers +,11,2.9
61-65,Male,Boomers +,24,6.3
66-70,Female,Boomers +,4,1
66-70,Male,Boomers +,14,3.7
71-75,Female,Boomers +,0,0
71-75,Male,Boomers +,5,1.3
76-79,Female,Boomers +,0,0
76-79,Male,Boomers +,5,1.3
80+,Female,Boomers +,1,0.3
80+,Male,Boomers +,1,0.3
