n_participants,model_type,n_boot,n_ok,convergence_rate,mean_AIC,sd_AIC,mean_BIC,sd_BIC,mean_logLik,mean_terms_with_p,mean_significant_terms,n_with_warnings
200,M2,5,5,1,621.8948362127445,35.201490991135536,850.5351782839841,35.20149099113549,-258.94741810637225,40.8,15.2,0
200,M1,5,5,1,759.2663615072343,27.615116202889745,829.6172359906926,27.615116202889745,-363.6331807536171,15,11.2,0
200,M0,5,5,1,1215.0224412966113,29.77629600232685,1245.8009488831244,29.77629600232685,-600.5112206483057,3.6,3,0
300,M2,5,5,1,915.2353226858016,27.284885623751308,1164.9598503786658,27.28488562375133,-405.6176613429008,40.8,18,0
300,M1,5,5,1,1110.4036779791275,3.865404571027568,1187.2419941923165,3.865404571027568,-539.2018389895637,9,7.2,0
300,M0,5,5,1,1811.6049330109965,32.06440796938728,1845.2216963542667,32.06440796938728,-898.8024665054983,3.6,3.2,0
600,M2,5,5,1,1775.3184700585607,43.31012323027535,2061.086651140542,43.310123230275316,-835.6592350292804,51,29,0
600,M1,5,5,1,2207.725257059083,34.5405229295171,2295.6539281612313,34.5405229295171,-1087.8626285295416,15,12.4,0
600,M0,5,5,1,3638.4412271806586,36.89641295831686,3676.910020787848,36.89641295831686,-1812.2206135903293,3.6,3.6,0
1000,M2,5,5,1,2887.170001047858,91.55316503819856,3199.501114565671,91.55316503819856,-1391.585000523929,51,33.4,0
1000,M1,5,5,1,3605.820791409151,74.06920583376565,3701.9226724915547,74.06920583376565,-1786.9103957045754,15,13.4,0
1000,M0,5,5,1,6085.337673183279,32.29953831713043,6127.382246156831,32.29953831713043,-3035.6688365916393,4.8,4.8,0
2000,M2,5,5,1,5715.5234680489175,51.79859748299146,6063.898234955847,51.79859748299146,-2805.7617340244587,51,37.8,0
2000,M1,5,5,1,7266.430405235136,73.00248636404136,7373.622641206499,73.00248636404173,-3617.215202617568,15,14.2,0
2000,M0,5,5,1,12114.214663585517,24.13697903129067,12161.111266822989,24.13697903129067,-6050.1073317927585,4.8,4.8,1
