"archetype_id","cluster","frequency"
10,1,2
14,1,180
24,1,1
26,1,3
27,1,1
35,1,44
64,1,2
68,1,10
76,1,306
82,1,1
84,1,2
86,1,2
100,1,1
137,1,3
177,1,1
183,1,384
209,1,1
214,1,17
215,1,10
216,1,21
219,1,1
221,1,1
223,1,3
225,1,4
231,1,3
233,1,4
237,1,3
244,1,5
250,1,1
251,1,2
262,1,1
316,1,6
322,1,9
331,1,202
342,1,3
344,1,5
350,1,2
354,1,1
381,1,3
384,1,8
389,1,3
401,1,42
404,1,1
410,1,8
422,1,1
428,1,11
429,1,174
454,1,1
463,1,1
466,1,1
472,1,1
476,1,7240
478,1,7
481,1,22
482,1,12
486,1,3
493,1,1
503,1,1
508,1,17
511,1,7
517,1,4
537,1,69
545,1,1
558,1,22
564,1,2
576,1,135
584,1,1
585,1,45
591,1,88
595,1,77
597,1,37
601,1,27
624,1,1
626,1,41
628,1,3
630,1,2
633,1,181
638,1,36
644,1,16
656,1,34
658,1,5
669,1,87
675,1,7
686,1,21
696,1,288
697,1,7715
708,1,14
713,1,43
714,1,2
715,1,3
724,1,95
728,1,1
729,1,3
754,1,1
758,1,1
761,1,1
777,1,2
807,1,7
834,1,12
844,1,6
845,1,39
864,1,1
872,1,6
874,1,1
878,1,4
933,1,6
952,1,4
966,1,4
973,1,1
998,1,12
1000,1,2
1026,1,9
1028,1,4
1031,1,114
1033,1,1
1068,1,19
1077,1,1
1079,1,1
1097,1,2
1103,1,25
1107,1,20
1119,1,1
1125,1,1
1126,1,1
1132,1,5
1138,1,4
1141,1,6
1151,1,1
1164,1,3
1171,1,2
1173,1,2
1175,1,1
1181,1,9
1183,1,2
1192,1,7
1196,1,1
1197,1,10
1204,1,5
1219,1,24
1236,1,5
1262,1,5
1269,1,195
1282,1,1
1284,1,6
1290,1,2
1297,1,1
1299,1,46
1300,1,41
1315,1,15
1317,1,5
1319,1,1
1327,1,78
1333,1,62
1339,1,2
1343,1,5
1348,1,2
1351,1,25
1353,1,7
1354,1,1
1364,1,2
1369,1,100
1388,1,1
1399,1,15
1435,1,8
1440,1,1
1465,1,3
1472,1,5
1483,1,34
1486,1,1
1492,1,2
1509,1,1
1513,1,2
1541,1,2
1545,1,3
1550,1,1
1552,1,2
1558,1,42
1559,1,5924
1599,1,1
1615,1,13
1616,1,93
1618,1,7
1623,1,9
1625,1,4
1626,1,18
1634,1,1
1642,1,158
1650,1,1
1680,1,63
1685,1,1
1687,1,1
1708,1,5
1709,1,10
1715,1,9
1732,1,9
1734,1,37
1746,1,2
1748,1,1
1751,1,364
1760,1,8
1766,1,6
1778,1,1
1783,1,1
1789,1,5
1795,1,9
1810,1,1
1826,1,4
1830,1,440
1857,1,122
1868,1,1
1876,1,1
1881,1,56
1888,1,8
1893,1,14
1894,1,13
1896,1,7
1906,1,203
1918,1,6
1919,1,13
1923,1,1
1930,1,225
1933,1,36
1934,1,2
1935,1,29
1943,1,39
1944,1,46
1947,1,8
1960,1,2336
1966,1,3
1968,1,1
1977,1,88
1982,1,4
1991,1,1
1995,1,8
2009,1,1
2016,1,2
2021,1,4
2034,1,13
2039,1,26
2040,1,2
2050,1,10
2051,1,1
2061,1,1
2067,1,2
2072,1,639
2082,1,8
2093,1,30
2095,1,10
2098,1,43
2099,1,5
2100,1,1
2105,1,2
2114,1,3
2122,1,12
2123,1,5
2124,1,43955
2130,1,1
2139,1,6
2156,1,301
2164,1,4
2173,1,1
2194,1,2
2195,1,2
2206,1,2
2209,1,1
2226,1,53
2236,1,1
2239,1,2
2241,1,28
2259,1,391
2264,1,180
2301,1,2
2303,1,6
2320,1,3
2322,1,5
2325,1,11
2332,1,17
2342,1,11
2348,1,13
2353,1,1
2360,1,1
2361,1,1
2385,1,1
2398,1,3
2408,1,3
2411,1,14
2427,1,1
2439,1,146
2440,1,1
2450,1,7
2463,1,4
2467,1,1
