analysis_sample,analysis_region,dataset_source,source_survey,score_variable,n_rows,n_valid_score,prop_valid_score,mean_score,sd_score,min_score,max_score
POOLED_ALL,ALL,rv,energy_crisis,phase_more_likely_2_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,poverty,phase_implemented_reasons_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,poverty,phase_more_likely_1_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
POOLED_ALL,ALL,rv,poverty,phase_more_likely_2_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2,phase_implemented_reasons_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2,phase_more_likely_1_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2,phase_more_likely_2_selected_dimension_score_mean,100,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;decision,phase_implemented_reasons_selected_dimension_score_mean,16,15,0.9375,71.03893976393975,9.080290513672116,56.333333333333336,86.14285714285712
RENOVISOR,EUROPE,rv,concerns2;decision,phase_more_likely_1_selected_dimension_score_mean,16,13,0.8125,72.81582840236686,8.81563458517668,58,93
RENOVISOR,EUROPE,rv,concerns2;decision,phase_more_likely_2_selected_dimension_score_mean,16,10,0.625,68.42773504273504,15.968937022769499,36.66666666666665,92.2
RENOVISOR,EUROPE,rv,concerns2;decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,10,10,1,75.79439393939394,12.701458951995782,48.3,95.66666666666667
RENOVISOR,EUROPE,rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,73.66969696969697,11.139899812573987,50,88.1
RENOVISOR,EUROPE,rv,concerns2;decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,10,7,0.7,70.37380952380953,11.988682383440029,54.1,86.6
RENOVISOR,EUROPE,rv,concerns2;decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,12,9,0.75,70.9194647944648,9.914979014912788,56.12500000000001,85.71428571428572
RENOVISOR,EUROPE,rv,concerns2;decision;poverty,phase_more_likely_1_selected_dimension_score_mean,12,6,0.5,70.7517094017094,9.200637775776372,60.833333333333336,83.5
RENOVISOR,EUROPE,rv,concerns2;decision;poverty,phase_more_likely_2_selected_dimension_score_mean,12,9,0.75,68.27385392385392,9.511662999212037,56.41666666666664,82.09090909090911
RENOVISOR,EUROPE,rv,concerns2;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,14,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,concerns2;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,decision,phase_implemented_reasons_selected_dimension_score_mean,902,734,0.8137472283813747,67.45160931635726,11.895816761158905,0,100
RENOVISOR,EUROPE,rv,decision,phase_more_likely_1_selected_dimension_score_mean,902,767,0.8503325942350333,66.9008250079632,11.905801086311609,0,100
RENOVISOR,EUROPE,rv,decision,phase_more_likely_2_selected_dimension_score_mean,902,592,0.656319290465632,66.92032646876396,12.765453976793928,0,100
RENOVISOR,EUROPE,rv,decision;energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,10,8,0.8,79.57727272727273,16.146614897105998,59.25,100
RENOVISOR,EUROPE,rv,decision;energy_crisis,phase_more_likely_1_selected_dimension_score_mean,10,8,0.8,69.21180555555554,13.838383867184623,55.333333333333336,100
RENOVISOR,EUROPE,rv,decision;energy_crisis,phase_more_likely_2_selected_dimension_score_mean,10,6,0.6,68.23842592592592,13.828609235377707,58.888888888888886,91.62499999999999
RENOVISOR,EUROPE,rv,decision;energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,7,6,0.8571428571428571,70.42786195286195,14.836489659190663,42.44444444444443,83.25
RENOVISOR,EUROPE,rv,decision;energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,7,6,0.8571428571428571,63.94166666666666,18.323186586035373,27,75
RENOVISOR,EUROPE,rv,decision;energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,7,5,0.7142857142857143,76.54807692307692,7.391735849970536,66.87499999999999,84.6153846153846
RENOVISOR,EUROPE,rv,decision;poverty,phase_implemented_reasons_selected_dimension_score_mean,1,1,1,57.85714285714285,NA,57.85714285714285,57.85714285714285
RENOVISOR,EUROPE,rv,decision;poverty,phase_more_likely_1_selected_dimension_score_mean,1,1,1,56.111111111111114,NA,56.111111111111114,56.111111111111114
RENOVISOR,EUROPE,rv,decision;poverty,phase_more_likely_2_selected_dimension_score_mean,1,1,1,74.37499999999999,NA,74.37499999999999,74.37499999999999
RENOVISOR,EUROPE,rv,energy_crisis,phase_implemented_reasons_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,energy_crisis,phase_more_likely_1_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,energy_crisis,phase_more_likely_2_selected_dimension_score_mean,107,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,energy_crisis;poverty,phase_implemented_reasons_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,energy_crisis;poverty,phase_more_likely_1_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,energy_crisis;poverty,phase_more_likely_2_selected_dimension_score_mean,4,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,poverty,phase_implemented_reasons_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,poverty,phase_more_likely_1_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
RENOVISOR,EUROPE,rv,poverty,phase_more_likely_2_selected_dimension_score_mean,38,0,0,NA,NA,NA,NA
WHY_EUROPE,EUROPE,why,Investment_Arquetypes_2022,phase_implemented_reasons_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
WHY_EUROPE,EUROPE,why,Investment_Arquetypes_2022,phase_more_likely_1_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
WHY_EUROPE,EUROPE,why,Investment_Arquetypes_2022,phase_more_likely_2_selected_dimension_score_mean,990,0,0,NA,NA,NA,NA
WHY_LATAM,LATAM,why,Investment_Arquetypes_2022,phase_implemented_reasons_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
WHY_LATAM,LATAM,why,Investment_Arquetypes_2022,phase_more_likely_1_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
WHY_LATAM,LATAM,why,Investment_Arquetypes_2022,phase_more_likely_2_selected_dimension_score_mean,638,0,0,NA,NA,NA,NA
