desired_total_n,country,target_pct,target_n_original,target_n_scaled,current_n,current_pct_for_desired_n,difference_n,recruit_next_n,overrepresented_n,keep_for_balanced_sample_n,status
181,France,0.11049723756906077,20,20,3,1.66,17,17,0,3,Faltan participantes
181,Italy,0.11049723756906077,20,20,3,1.66,17,17,0,3,Faltan participantes
181,Germany,0.11049723756906077,20,20,4,2.21,16,16,0,4,Faltan participantes
181,United Kingdom,0.11049723756906077,20,20,5,2.76,15,15,0,5,Faltan participantes
181,Poland,0.08287292817679558,15,15,3,1.66,12,12,0,3,Faltan participantes
181,Czech Republic,0.027624309392265192,5,5,0,0,5,5,0,0,Faltan participantes
181,Portugal,0.027624309392265192,5,5,0,0,5,5,0,0,Faltan participantes
181,Sweden,0.027624309392265192,5,5,0,0,5,5,0,0,Faltan participantes
181,Belgium,0.027624309392265192,5,5,1,0.55,4,4,0,1,Faltan participantes
181,Greece,0.027624309392265192,5,5,1,0.55,4,4,0,1,Faltan participantes
181,Bulgaria,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Croatia,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Denmark,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Estonia,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Finland,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Hungary,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Latvia,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Lithuania,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Slovakia,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Slovenia,0.016574585635359115,3,3,0,0,3,3,0,0,Faltan participantes
181,Romania,0.027624309392265192,5,5,3,1.66,2,2,0,3,Faltan participantes
181,Austria,0.016574585635359115,3,3,2,1.1,1,1,0,2,Faltan participantes
181,Cyprus,0,0,0,0,0,0,0,0,0,Cuota cubierta
181,Ireland,0.016574585635359115,3,3,3,1.66,0,0,0,3,Cuota cubierta
181,Luxembourg,0,0,0,0,0,0,0,0,0,Cuota cubierta
181,Malta,0,0,0,0,0,0,0,0,0,Cuota cubierta
181,Netherlands,0.027624309392265192,5,5,10,5.52,-5,0,5,5,Sobrerrepresentado
181,Spain,0.08287292817679558,15,15,185,102.21,-170,0,170,15,Sobrerrepresentado
300,France,0.11049723756906077,20,33,3,1,30,30,0,3,Faltan participantes
300,Italy,0.11049723756906077,20,33,3,1,30,30,0,3,Faltan participantes
300,Germany,0.11049723756906077,20,33,4,1.33,29,29,0,4,Faltan participantes
300,United Kingdom,0.11049723756906077,20,33,5,1.67,28,28,0,5,Faltan participantes
300,Poland,0.08287292817679558,15,25,3,1,22,22,0,3,Faltan participantes
300,Czech Republic,0.027624309392265192,5,9,0,0,9,9,0,0,Faltan participantes
300,Belgium,0.027624309392265192,5,9,1,0.33,8,8,0,1,Faltan participantes
