"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,9,1374,0.17175
3,39,118453,14.806625
4,144,159095,19.886875
5,414,230093,28.761625
6,981,308118,38.51475
7,2009,357829,44.728625
8,3400,394322,49.29025
9,5225,424657,53.082125
10,7346,450384,56.298
11,9729,471872,58.984
12,13394,500511,62.563875
13,15379,519314,64.91425
14,19533,626795,78.349375
15,20124,633157,79.144625
16,27318,779737,97.467125
17,27347,779779,97.472375
18,31833,800000,100
19,31833,800000,100
20,31833,800000,100
