"archetype_id","cluster","frequency"
2,1,1
3,1,1
4,1,2
6,1,1
7,1,1
8,1,1
9,1,3
10,1,2
11,1,16
12,1,1
13,1,1
14,1,180
15,1,15
16,1,1
17,1,13
18,1,112
19,1,1
21,1,3
22,1,2
23,1,2
24,1,1
26,1,3
27,1,1
31,1,3
34,1,1
35,1,44
36,1,7
38,1,2
40,1,1
41,1,11
42,1,1
44,1,2
47,1,14
49,1,4
51,1,1
52,1,2
54,1,1
56,1,1
57,1,1
58,1,1
60,1,1
61,1,256
63,1,1
64,1,2
65,1,1
66,1,1
68,1,10
69,1,2
70,1,1
72,1,15
73,1,1
74,1,3
75,1,3
76,1,306
77,1,1
78,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,2
86,1,2
87,1,1
88,1,1
89,1,1
92,1,3
93,1,29
94,1,1
95,1,1
96,1,1
97,1,1
98,1,5
99,1,15
100,1,1
101,1,9
102,1,4
103,1,1
104,1,4
107,1,2
108,1,2
109,1,2
111,1,1
114,1,1
115,1,1
116,1,277
118,1,1
119,1,1
121,1,1
122,1,1
123,1,1
124,1,1
126,1,16
127,1,1
128,1,1
129,1,1
131,1,7
132,1,1
133,1,1
134,1,1
136,1,4
137,1,3
142,1,5
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
149,1,1
150,1,3
153,1,2
154,1,2
155,1,5
157,1,1
158,1,4
160,1,4
161,1,2
162,1,2
164,1,4
165,1,3
166,1,9
167,1,2
168,1,1
169,1,1
170,1,4
172,1,1
174,1,1
175,1,2
176,1,1
177,1,1
178,1,1
179,1,1
181,1,1
182,1,3
183,1,384
185,1,3
187,1,5
189,1,2
190,1,3
191,1,2
192,1,5
193,1,1
195,1,1
198,1,1
199,1,1
200,1,38
203,1,1
204,1,2
205,1,9
207,1,296
208,1,11
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,17
215,1,10
216,1,21
217,1,1
219,1,1
221,1,1
222,1,1
223,1,3
224,1,1
225,1,4
227,1,1
228,1,1
231,1,3
232,1,1
233,1,4
234,1,1
235,1,1
237,1,3
238,1,3
239,1,24
244,1,5
245,1,5
247,1,19
248,1,7
249,1,4
250,1,1
251,1,2
252,1,1
253,1,2
254,1,2
255,1,1
257,1,1
258,1,2
259,1,1
260,1,227
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
267,1,1
268,1,1
270,1,57
271,1,1
272,1,1
274,1,1
275,1,3
276,1,1
279,1,1
281,1,1
282,1,18
283,1,3
286,1,3
288,1,1
290,1,1
291,1,1
292,1,4
294,1,1
296,1,4
298,1,1
299,1,9
300,1,9
301,1,1
302,1,2
303,1,1
305,1,4
306,1,1
307,1,1
308,1,4
309,1,1
310,1,1
312,1,2
314,1,1
315,1,1
316,1,6
317,1,1
318,1,6
319,1,1
321,1,1
322,1,9
323,1,1
325,1,6
327,1,1
328,1,1
330,1,1
331,1,202
334,1,2
335,1,1
336,1,2
339,1,2
341,1,16
342,1,3
344,1,5
345,1,1
347,1,2
350,1,2
351,1,1
352,1,11
353,1,1
354,1,1
355,1,1
356,1,1
358,1,2
359,1,13
360,1,15
361,1,1
362,1,8
363,1,1
364,1,131
365,1,1
366,1,109
367,1,1
368,1,1
371,1,3
372,1,1
373,1,1
374,1,1
376,1,1
377,1,5
379,1,1
380,1,3
381,1,3
382,1,1
384,1,8
385,1,1
386,1,1
387,1,1
388,1,4
389,1,3
390,1,3
391,1,1
393,1,1
394,1,1
395,1,247
396,1,1
399,1,5
400,1,4
401,1,42
402,1,3
403,1,1
404,1,1
405,1,2
406,1,1
408,1,21
410,1,8
411,1,1
414,1,1
417,1,1
418,1,14
421,1,1
422,1,1
424,1,29376
425,1,1
426,1,1
427,1,7
428,1,11
429,1,174
430,1,4
431,1,2
432,1,1
434,1,1
435,1,1
436,1,3
437,1,1
439,1,14
440,1,28
441,1,1
442,1,1
444,1,8
445,1,14
446,1,1
447,1,1
448,1,20
449,1,6
450,1,678
453,1,1
454,1,1
455,1,3
456,1,1
458,1,54
461,1,1
463,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,4
470,1,1
472,1,1
473,1,3
476,1,7240
477,1,1
478,1,7
479,1,1
480,1,1
481,1,22
482,1,12
483,1,2
485,1,1
486,1,3
487,1,1
488,1,1
489,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,3
496,1,1
497,1,2
498,1,1092
499,1,1
502,1,55
503,1,1
504,1,3
505,1,15
506,1,12
507,1,3
508,1,17
509,1,1
510,1,6
511,1,7
513,1,1
514,1,1
515,1,1
517,1,4
519,1,1
522,1,1
524,1,1
526,1,10
527,1,1
528,1,5
529,1,20
530,1,1
531,1,1
532,1,2
533,1,19
534,1,1
535,1,1
536,1,2
537,1,69
538,1,1
539,1,1
540,1,1
542,1,5
544,1,1
545,1,1
546,1,5
547,1,3
548,1,1
549,1,665
550,1,1
551,1,5
552,1,2
553,1,3
554,1,1
555,1,1
556,1,1
557,1,1
558,1,22
559,1,1
561,1,2
562,1,20
563,1,2
564,1,2
565,1,2
567,1,3
568,1,2
569,1,1
571,1,1
572,1,1
574,1,1
575,1,2
576,1,135
577,1,1
579,1,1
580,1,2
581,1,4
582,1,1
583,1,1
584,1,1
585,1,45
586,1,2
588,1,3
589,1,1
590,1,6
591,1,88
592,1,1
593,1,2
594,1,1
595,1,77
597,1,37
600,1,1
601,1,27
603,1,2
604,1,1
605,1,17
608,1,4
609,1,8
610,1,3
611,1,118
612,1,1
613,1,1
615,1,7
616,1,2
617,1,4
618,1,2
619,1,1
620,1,1
621,1,2
622,1,13
624,1,1
625,1,1
626,1,41
628,1,3
630,1,2
632,1,1
633,1,181
635,1,4
637,1,2
638,1,36
639,1,3
641,1,2
642,1,1
643,1,9
644,1,16
646,1,41
648,1,2
650,1,6
651,1,1
655,1,1
656,1,34
657,1,1
658,1,5
659,1,5
661,1,3
662,1,2
663,1,8
665,1,5
666,1,1
667,1,2
668,1,1
669,1,87
671,1,2
672,1,3
673,1,1
674,1,3
675,1,7
676,1,1
678,1,1
679,1,1
682,1,1
684,1,1
686,1,21
688,1,1
689,1,1
694,1,1
696,1,288
697,1,7715
698,1,1
699,1,1
700,1,1
701,1,1
702,1,1
703,1,1
706,1,1
707,1,3
708,1,14
709,1,1
711,1,22
712,1,2
713,1,43
714,1,2
715,1,3
716,1,1
717,1,1
718,1,28
719,1,6
720,1,1
723,1,2
724,1,95
725,1,1
726,1,6
727,1,1
728,1,1
729,1,3
730,1,2
731,1,1
733,1,6
734,1,4
736,1,1
737,1,2
739,1,2
740,1,3
742,1,1
743,1,2
744,1,1
745,1,1
748,1,6
750,1,1
751,1,1
752,1,13
753,1,318
754,1,1
755,1,1
756,1,2
757,1,1
758,1,1
759,1,1
761,1,1
762,1,36
763,1,2
764,1,4
765,1,1
767,1,1
769,1,1
770,1,1
772,1,1
775,1,24
777,1,2
780,1,1
781,1,5
782,1,1
783,1,1
784,1,4
785,1,6
786,1,1
787,1,2
788,1,2
789,1,4
791,1,37
793,1,1
794,1,1
795,1,63342
796,1,1
798,1,1
799,1,5
800,1,9
802,1,1
803,1,2
804,1,2
805,1,2
806,1,1
807,1,7
808,1,2
810,1,26
811,1,1
812,1,3
813,1,1
815,1,4
817,1,1
818,1,13
819,1,12
820,1,4
821,1,3
822,1,1
823,1,2
825,1,1
827,1,773
829,1,1
833,1,1
834,1,12
835,1,1
836,1,1
837,1,1
838,1,1
839,1,1
841,1,1
844,1,6
845,1,39
846,1,2
847,1,1
848,1,1
849,1,1
850,1,53
851,1,3
854,1,1
856,1,1
857,1,5
858,1,1
859,1,1
861,1,1
862,1,1
863,1,3
864,1,1
865,1,7
867,1,3
868,1,2
871,1,1
872,1,6
873,1,5
874,1,1
875,1,1
876,1,2
877,1,1
878,1,4
879,1,2
880,1,11
881,1,3
882,1,1
883,1,1
884,1,1
885,1,1
886,1,1
887,1,1
888,1,1
890,1,1
891,1,1
893,1,1
894,1,5
896,1,10
897,1,2
898,1,5
899,1,5
900,1,1
903,1,1
906,1,1
907,1,1
908,1,1
909,1,225
910,1,2
911,1,1
912,1,1
913,1,2
914,1,15
915,1,8
916,1,1
917,1,1
919,1,8
920,1,1
922,1,2
923,1,2
924,1,1
926,1,2
928,1,1
929,1,1
931,1,1
932,1,2
933,1,6
934,1,1
935,1,1
936,1,29
938,1,2
939,1,1
942,1,1
943,1,1
947,1,23
948,1,12
949,1,1
950,1,2
952,1,4
953,1,3
954,1,3
955,1,1
956,1,2
958,1,1
960,1,1
961,1,8
963,1,3
964,1,1
965,1,2
966,1,4
968,1,1
969,1,1
970,1,1
972,1,1
973,1,1
974,1,1
975,1,1
976,1,1
978,1,2
980,1,1
981,1,1
982,1,1
984,1,1
985,1,1
986,1,2
988,1,3
989,1,1
991,1,1
992,1,1
993,1,1
994,1,1
997,1,1
998,1,12
999,1,1
1000,1,2
1001,1,4
1002,1,1
1004,1,2
1005,1,121
1008,1,173
1009,1,95
1010,1,2
1011,1,1
1012,1,33
1013,1,1
1015,1,1
1017,1,8
1018,1,2
1019,1,1
1021,1,2
1022,1,3
1023,1,1
1025,1,1
1026,1,9
1027,1,1
1028,1,4
1029,1,1
1030,1,1
1031,1,114
1032,1,1
